Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
that project staff members will not do what is right for me (including my family),Big problem,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,182,42,Male,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Problem,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,183,32,Male,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Small problem,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,195,27,Male,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Very big problem,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,127,26,Male,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Problem,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,215,20,Female,University,Yes,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,221,50,Female,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Problem,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),,216,,Female,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Big problem,230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
